Nature index,Count,Percent
1.575625,5681,0.6%
1.5775,581,0.1%
1.579375,1989,0.2%
1.58,1,0.0%
1.58125,73,0.0%
1.583125,68,0.0%
1.585,22,0.0%
1.590625,2346,0.2%
1.5925,529,0.1%
1.593125,151,0.0%
1.594375,1197,0.1%
1.595,6,0.0%
1.59625,168,0.0%
1.598125,12,0.0%
1.6,25,0.0%
1.60375,15,0.0%
1.605625,2323,0.2%
1.6075,1345,0.1%
1.609375,184,0.0%
1.609375,135,0.0%
1.61125,27,0.0%
1.613125,14,0.0%
1.620625,1051,0.1%
1.6225,1495,0.2%
1.624375,427,0.0%
1.62625,207,0.0%
1.63,10,0.0%
1.635625,3156,0.3%
1.6375,1016,0.1%
1.6375,406,0.0%
1.639375,1066,0.1%
1.64125,92,0.0%
1.645,21,0.0%
1.65,385,0.0%
1.650625,2096,0.2%
1.65125,62,0.0%
1.6525,974,0.1%
1.654375,1846,0.2%
1.65625,3,0.0%
1.66,98,0.0%
1.665625,1699,0.2%
1.6675,398,0.0%
1.668125,306,0.0%
1.669375,225,0.0%
1.67,1,0.0%
1.67125,1,0.0%
1.673125,3,0.0%
1.679375,460,0.0%
1.680625,165,0.0%
1.6825,927,0.1%
1.683125,28,0.0%
1.684375,157,0.0%
1.68625,13,0.0%
1.688125,9,0.0%
1.694375,199,0.0%
1.695625,1869,0.2%
1.69625,26,0.0%
1.6975,282,0.0%
1.699375,385,0.0%
1.7,2,0.0%
1.70125,152,0.0%
1.7075,18,0.0%
1.710625,1561,0.2%
1.71125,110,0.0%
1.7125,170,0.0%
1.714375,289,0.0%
1.715,11,0.0%
1.71625,179,0.0%
1.7225,766,0.1%
1.724375,110,0.0%
1.725625,1845,0.2%
1.72625,716,0.1%
1.7275,89,0.0%
1.729375,783,0.1%
1.73,3,0.0%
1.739375,389,0.0%
1.740625,1344,0.1%
1.74125,143,0.0%
1.7425,153,0.0%
1.744375,655,0.1%
1.745,46,0.0%
1.750625,182,0.0%
1.7525,1,0.0%
1.754375,2657,0.3%
1.755625,43,0.0%
1.75625,340,0.0%
1.7575,126,0.0%
1.759375,87,0.0%
1.76,102,0.0%
1.7675,55,0.0%
1.769375,2550,0.3%
1.770625,905,0.1%
1.77125,124,0.0%
1.7725,947,0.1%
1.773125,1,0.0%
1.775,16,0.0%
1.7825,1043,0.1%
1.784375,327,0.0%
1.785625,155,0.0%
1.78625,76,0.0%
1.7875,262,0.0%
1.79,20,0.0%
1.7975,5104,0.5%
1.799375,250,0.0%
1.800625,1421,0.1%
1.80125,470,0.0%
1.805,60,0.0%
1.8125,1150,0.1%
1.814375,86,0.0%
1.815625,757,0.1%
1.81625,793,0.1%
1.818125,4,0.0%
1.82,135,0.0%
1.825625,1177,0.1%
1.8275,520,0.1%
1.829375,697,0.1%
1.83125,220,0.0%
1.835,835,0.1%
1.840625,220,0.0%
1.8425,381,0.0%
1.844375,4,0.0%
1.844375,1418,0.1%
1.84625,583,0.1%
1.85,466,0.0%
1.855625,230,0.0%
1.8575,39,0.0%
1.859375,117,0.0%
1.86125,320,0.0%
1.865,456,0.0%
1.870625,181,0.0%
1.8725,3741,0.4%
1.874375,237,0.0%
1.87625,107,0.0%
